backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired
OpenVLA,LIBERO Object,Depth pruning,depth_pruning1,100,10,12,-2.0000,0.8318,4.1400,-9.4000,18.5900,-0.2137,0
OpenVLA,LIBERO Object,Guarded reuse,guarded_reuse_aggressive,100,6,8,-2.0000,0.7905,1.2100,-9.5800,12.7800,-2.3442,0
OpenVLA,LIBERO Object,Temporal fusion,temporal_fusion_task_aware,100,9,10,-1.0000,1.0000,0.0200,-11.6900,11.8700,1.9585,0
OpenVLA,LIBERO Spatial,Foveation,fixed_foveation_keep50,100,14,9,5.0000,0.4049,-4.5100,-14.2800,5.7200,-0.0289,0
OpenVLA,LIBERO Spatial,Action repeat,action_repeat2,100,8,14,-6.0000,0.2863,8.1400,-1.2100,17.7300,-9.8665,0
OpenVLA,LIBERO Spatial,Depth pruning,depth_pruning1,100,10,26,-16.0000,0.0113,16.0700,3.2500,27.7500,2.0190,0
OpenVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_strict,100,5,1,4.0000,0.2188,-4.3200,-9.6600,0.3500,-1.2352,0
OpenVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_motion_entropy,100,12,5,7.0000,0.1435,-8.1900,-16.8600,0.5900,-1.5034,0
SmolVLA,LIBERO Long,Foveation,fixed_foveation_keep50,100,6,27,-21.0000,0.0003,49.4900,26.4600,74.9700,22.4514,0
SmolVLA,LIBERO Long,Action repeat,action_repeat2,100,9,20,-11.0000,0.0614,15.1000,-9.5800,40.2700,-56.5326,0
SmolVLA,LIBERO Long,Depth pruning,depth_pruning1,100,1,34,-33.0000,0.0000,71.7200,47.7600,96.0100,21.8131,0
SmolVLA,LIBERO Long,Guarded reuse,guarded_reuse_aggressive,100,16,11,5.0000,0.4421,-9.0100,-33.1700,15.5700,-3.6881,0
SmolVLA,LIBERO Long,Temporal fusion,temporal_fusion_motion_entropy,100,13,11,2.0000,0.8388,-12.9000,-38.1600,12.1400,-8.3521,0
SmolVLA,LIBERO Goal,Foveation,fixed_foveation_keep50,100,6,19,-13.0000,0.0146,20.8500,2.8200,38.9400,7.5856,0
SmolVLA,LIBERO Goal,Action repeat,action_repeat2,100,7,15,-8.0000,0.1338,16.5600,1.5300,32.2600,-18.3372,0
SmolVLA,LIBERO Goal,Depth pruning,depth_pruning1,100,6,24,-18.0000,0.0014,39.3700,22.4300,56.1400,11.2381,0
SmolVLA,LIBERO Goal,Guarded reuse,guarded_reuse_aggressive,100,12,15,-3.0000,0.7011,4.1200,-14.4200,21.9200,-4.8884,0
SmolVLA,LIBERO Goal,Temporal fusion,temporal_fusion_motion_entropy,100,12,15,-3.0000,0.7011,2.9500,-15.1800,20.1500,-1.5527,0
SmolVLA,LIBERO Object,Foveation,fixed_foveation_keep50,100,2,15,-13.0000,0.0023,14.1400,3.0500,25.1800,7.3347,0
SmolVLA,LIBERO Object,Action repeat,action_repeat2,100,5,9,-4.0000,0.4240,6.7700,-3.3200,17.0700,-21.8074,0
SmolVLA,LIBERO Object,Depth pruning,depth_pruning1,100,4,25,-21.0000,0.0001,31.1000,18.6000,43.3600,9.8084,0
SmolVLA,LIBERO Object,Guarded reuse,guarded_reuse_aggressive,100,5,8,-3.0000,0.5811,0.1600,-10.3900,11.1200,-3.0822,0
SmolVLA,LIBERO Object,Temporal fusion,temporal_fusion_task_aware,100,5,9,-4.0000,0.4240,0.2600,-10.0700,10.7400,-1.9425,0
SmolVLA,LIBERO Spatial,Foveation,fixed_foveation_keep50,100,12,12,0.0000,1.0000,3.0000,-8.2200,14.0800,3.8041,0
SmolVLA,LIBERO Spatial,Action repeat,action_repeat2,100,13,25,-12.0000,0.0730,15.2600,1.1900,28.4100,-15.4807,0
SmolVLA,LIBERO Spatial,Depth pruning,depth_pruning1,100,12,26,-14.0000,0.0336,18.5200,5.1000,31.6800,5.9893,0
SmolVLA,LIBERO Spatial,Guarded reuse,guarded_reuse_moderate,100,13,10,3.0000,0.6776,-3.3300,-14.0900,7.2400,0.1408,0
SmolVLA,LIBERO Spatial,Temporal fusion,temporal_fusion_conservative_adaptive,100,13,7,6.0000,0.2632,-7.2100,-17.3700,2.5200,-0.8329,0
