backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired,in_table
OpenVLA,Fractal,Temporal fusion,temporal_fusion_conservative_adaptive,250,7,4,1.2000,0.5488,-1.0400,-2.2400,0.0120,-0.2145,0,0
OpenVLA,Fractal,Temporal fusion,temporal_fusion_motion_entropy,250,39,23,6.4000,0.0559,-2.2840,-4.8520,0.3040,-0.3654,0,0
OpenVLA,Fractal,Temporal fusion,temporal_fusion_task_aware,250,29,12,6.8000,0.0115,-2.8760,-5.2400,-0.5800,0.1888,0,1
SpatialVLA,Fractal,Action repeat,action_repeat2,250,33,33,0.0000,1.0000,0.8280,-2.3200,3.9240,-9.0547,0,1
SpatialVLA,Fractal,Action repeat,action_repeat4,250,19,93,-29.6000,0.0000,16.3040,12.5840,20.2840,-11.3713,0,0
SpatialVLA,Fractal,Depth pruning,depth_pruning1,250,12,25,-5.2000,0.0470,1.0600,-1.3200,3.4880,-0.2789,0,0
SpatialVLA,Fractal,Depth pruning,depth_pruning2,250,17,23,-2.4000,0.4296,1.1640,-1.5760,3.9600,-0.6707,0,1
SpatialVLA,Fractal,Depth pruning,depth_pruning4,250,7,47,-16.0000,0.0000,5.7720,2.9840,8.5560,-0.2181,0,0
SpatialVLA,Fractal,Foveation,fixed_foveation_keep20,250,17,27,-4.0000,0.1742,-0.8280,-3.6120,1.8760,0.8479,0,0
SpatialVLA,Fractal,Foveation,fixed_foveation_keep50,250,16,21,-2.0000,0.5114,-0.4280,-2.8440,1.9440,1.2050,0,1
SpatialVLA,Fractal,Guarded reuse,guarded_reuse_aggressive,250,3,4,-0.4000,1.0000,0.3560,-0.3120,0.9960,-0.2860,0,0
SpatialVLA,Fractal,Guarded reuse,guarded_reuse_moderate,250,2,0,0.8000,0.5000,-0.1400,-0.6600,0.2120,-0.2143,0,1
SpatialVLA,Fractal,Guarded reuse,guarded_reuse_strict,250,0,0,0.0000,1.0000,0.0360,-0.0040,0.0880,-0.1493,0,0
SpatialVLA,Fractal,Temporal fusion,temporal_fusion_conservative_adaptive,250,0,0,0.0000,1.0000,0.0840,-0.0560,0.2800,0.1648,0,0
SpatialVLA,Fractal,Temporal fusion,temporal_fusion_motion_entropy,250,17,20,-1.2000,0.7428,-0.1600,-2.3760,2.1440,0.0034,0,0
SpatialVLA,Fractal,Temporal fusion,temporal_fusion_task_aware,250,12,10,0.8000,0.8318,-1.8680,-3.8560,0.1440,-0.6747,0,1
UniVLA,LIBERO Long,Action repeat,action_repeat2,100,2,61,-59.0000,0.0000,185.1400,161.2700,208.5200,-0.0662,0,1
UniVLA,LIBERO Long,Action repeat,action_repeat4,100,0,85,-85.0000,0.0000,237.0600,216.1200,257.6900,-4.3228,0,0
UniVLA,LIBERO Long,Depth pruning,depth_pruning1,100,8,6,2.0000,0.7905,5.7600,-13.8100,27.5900,-0.1767,0,0
UniVLA,LIBERO Long,Depth pruning,depth_pruning2,100,10,7,3.0000,0.6291,2.2500,-18.4000,23.7100,-0.6138,0,1
UniVLA,LIBERO Long,Depth pruning,depth_pruning4,100,8,8,0.0000,1.0000,24.1300,3.2500,45.8000,-0.2250,0,0
UniVLA,LIBERO Long,Foveation,fixed_foveation_keep20,100,8,8,0.0000,1.0000,-4.6200,-26.2200,16.5000,-0.2126,0,0
UniVLA,LIBERO Long,Foveation,fixed_foveation_keep50,100,8,4,4.0000,0.3877,-11.4800,-29.1200,5.8000,-0.4894,0,1
UniVLA,LIBERO Long,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,0.8700,0.1200,1.8100,-0.4071,0,0
UniVLA,LIBERO Long,Guarded reuse,guarded_reuse_moderate,100,0,0,0.0000,1.0000,0.5300,-0.0700,1.2900,0.0302,0,0
UniVLA,LIBERO Long,Guarded reuse,guarded_reuse_strict,100,0,0,0.0000,1.0000,0.2200,-0.7700,1.1700,-0.0945,0,1
UniVLA,LIBERO Long,Temporal fusion,temporal_fusion_conservative_adaptive,100,0,0,0.0000,1.0000,0.0900,-0.1900,0.4800,-0.3697,0,0
UniVLA,LIBERO Long,Temporal fusion,temporal_fusion_motion_entropy,100,5,8,-3.0000,0.5811,11.7300,-5.8800,30.6100,0.3153,0,0
UniVLA,LIBERO Long,Temporal fusion,temporal_fusion_task_aware,100,7,6,1.0000,1.0000,1.5500,-14.3900,19.8000,1.5130,0,1
UniVLA,LIBERO Goal,Action repeat,action_repeat2,100,3,61,-58.0000,0.0000,121.4700,101.8900,140.0200,1.7135,0,1
UniVLA,LIBERO Goal,Action repeat,action_repeat4,100,0,92,-92.0000,0.0000,177.4200,164.2000,189.2100,0.1164,0,0
UniVLA,LIBERO Goal,Depth pruning,depth_pruning1,100,6,5,1.0000,1.0000,-0.8900,-11.6800,10.1500,-0.2938,0,1
UniVLA,LIBERO Goal,Depth pruning,depth_pruning2,100,7,10,-3.0000,0.6291,6.4300,-6.4400,19.2500,0.0717,0,0
UniVLA,LIBERO Goal,Depth pruning,depth_pruning4,100,6,14,-8.0000,0.1153,21.1300,5.0700,36.5300,0.6010,0,0
UniVLA,LIBERO Goal,Foveation,fixed_foveation_keep20,100,3,8,-5.0000,0.2266,7.2200,-3.9100,19.6500,0.4653,0,0
UniVLA,LIBERO Goal,Foveation,fixed_foveation_keep50,100,8,1,7.0000,0.0391,-8.2100,-19.0800,2.0600,-0.4954,0,1
UniVLA,LIBERO Goal,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,-0.0200,-0.0600,0.0000,-0.1160,0,0
UniVLA,LIBERO Goal,Guarded reuse,guarded_reuse_moderate,100,1,0,1.0000,1.0000,-1.0400,-3.1800,0.0400,-0.1921,0,0
UniVLA,LIBERO Goal,Guarded reuse,guarded_reuse_strict,100,1,0,1.0000,1.0000,-1.2400,-3.7200,0.0000,-0.1379,0,1
UniVLA,LIBERO Goal,Temporal fusion,temporal_fusion_conservative_adaptive,100,0,0,0.0000,1.0000,0.0900,0.0000,0.2600,-0.0798,0,0
UniVLA,LIBERO Goal,Temporal fusion,temporal_fusion_motion_entropy,100,7,4,3.0000,0.5488,-0.5100,-11.8700,11.2600,-0.0587,0,1
UniVLA,LIBERO Goal,Temporal fusion,temporal_fusion_task_aware,100,6,5,1.0000,1.0000,0.6800,-10.4800,11.6600,0.8725,0,0
UniVLA,LIBERO Object,Action repeat,action_repeat2,100,1,76,-75.0000,0.0000,120.3000,111.0400,129.5300,0.9062,0,1
UniVLA,LIBERO Object,Action repeat,action_repeat4,100,0,95,-95.0000,0.0000,134.0800,126.5000,141.1100,-2.1429,0,0
UniVLA,LIBERO Object,Depth pruning,depth_pruning1,100,4,1,3.0000,0.3750,-2.5900,-10.8200,5.7800,-0.2728,0,1
UniVLA,LIBERO Object,Depth pruning,depth_pruning2,100,4,6,-2.0000,0.7539,0.1300,-9.8800,10.9000,-0.3014,0,0
UniVLA,LIBERO Object,Depth pruning,depth_pruning4,100,4,8,-4.0000,0.3877,7.6500,-2.9100,18.4900,-0.2148,0,0
UniVLA,LIBERO Object,Foveation,fixed_foveation_keep20,100,4,0,4.0000,0.1250,-9.7800,-17.4800,-2.3400,-0.5328,0,1
UniVLA,LIBERO Object,Foveation,fixed_foveation_keep50,100,3,2,1.0000,1.0000,-5.8500,-13.6400,1.9400,-0.3155,0,0
UniVLA,LIBERO Object,Guarded reuse,guarded_reuse_aggressive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.0215,0,0
UniVLA,LIBERO Object,Guarded reuse,guarded_reuse_moderate,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0585,0,0
UniVLA,LIBERO Object,Guarded reuse,guarded_reuse_strict,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0440,0,1
UniVLA,LIBERO Object,Temporal fusion,temporal_fusion_conservative_adaptive,100,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,-0.1514,0,0
UniVLA,LIBERO Object,Temporal fusion,temporal_fusion_motion_entropy,100,3,1,2.0000,0.6250,-3.2600,-10.3600,3.7800,-0.3500,0,1
UniVLA,LIBERO Object,Temporal fusion,temporal_fusion_task_aware,100,3,2,1.0000,1.0000,-2.7900,-8.8100,2.7400,0.5736,0,0
