source,model,config,suite,n,successes,success,steps,episode_s,step_ms,calls,query_ms
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_aggressive/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,14.455307541233488,180.6913442654186,79.94,110.76692829164519
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_moderate/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_close_drawer,50,31,62.0,50.34,8.807360880677589,174.95750656888336,50.26,100.47365007717296
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_moderate/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_move_near,50,47,94.0,22.5,3.5822255476843567,159.21002434152695,22.5,99.48630994837731
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_moderate/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_open_drawer,50,41,82.0,48.84,8.470867714444175,173.4411898944344,48.68,99.7912932584585
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_moderate/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_pick_coke_can,50,49,98.0,20.46,3.27601957725361,160.11825890780108,20.46,100.12568787042095
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_moderate/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.614074864299036,170.17593580373796,80.0,102.22057652194053
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_strict/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_close_drawer,50,31,62.0,48.96,8.501145768761635,173.63451325085038,48.96,98.6209407556624
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_strict/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_move_near,50,47,94.0,22.5,3.594117614761926,159.7385606560856,22.5,100.70667271409184
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_strict/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_open_drawer,50,40,80.0,51.6,8.92137944410788,172.89495046720697,51.58,99.68826334661514
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_strict/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_pick_coke_can,50,49,98.0,20.46,3.2599377947789616,159.33224803416235,20.46,99.00394651138899
results_corrected/cogact_base_simplerenv_fractal/guarded_reuse_strict/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,13.429284760640003,167.86605950800003,80.0,99.76505019378965
results_corrected/cogact_base_simplerenv_fractal/original/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,original,google_robot_close_drawer,50,31,62.0,48.96,8.606546561296563,175.78730721602457,48.96,100.5956594049672
results_corrected/cogact_base_simplerenv_fractal/original/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,original,google_robot_move_near,50,47,94.0,22.5,3.594577362977434,159.7589939101082,22.5,100.41142841345734
