model,config,n,successes,success,steps,episode_s,step_ms,calls,query_ms,complete
openvla_simplerenv,temporal_fusion_motion_entropy,200,82,41.0,54.84,11.458235841187165,208.9393844126033,54.84,158.3585483765832,True
openvla_simplerenv,temporal_fusion_task_aware,200,101,50.5,50.53,11.233703636114626,222.31750714653919,50.53,171.70893201371834,True
openvla_simplerenv_fractal,action_repeat2,250,100,40.0,62.912,10.005275023221039,159.03603482993768,31.556,160.02713936073926,True
openvla_simplerenv_fractal,action_repeat4,250,89,35.6,67.02,7.973426251795608,118.9708482810446,16.896,161.2461886090221,True
openvla_simplerenv_fractal,depth_pruning1,250,96,38.4,62.836,14.863300683307461,236.54116562651126,62.836,156.02428508616305,True
openvla_simplerenv_fractal,depth_pruning2,250,102,40.8,61.856,14.268921439366416,230.67966631153672,61.856,150.84087080775402,True
openvla_simplerenv_fractal,depth_pruning4,250,92,36.8,62.8,14.019360548780766,223.23822529905678,62.8,142.77329039721377,True
openvla_simplerenv_fractal,fixed_foveation_keep20,250,19,7.6,76.296,18.993780783866068,248.94857900631837,76.296,168.05671259131577,True
openvla_simplerenv_fractal,fixed_foveation_keep50,250,61,24.4,68.236,17.02163836965291,249.452464529763,68.236,164.7586513442748,True
openvla_simplerenv_fractal,guarded_reuse_aggressive,250,88,35.2,64.248,15.078283533490728,234.68876126090663,61.756,160.7037308367605,True
openvla_simplerenv_fractal,guarded_reuse_moderate,250,91,36.4,64.196,15.191486898327712,236.6422658472134,62.592,160.43963428777892,True
openvla_simplerenv_fractal,guarded_reuse_strict,250,90,36.0,64.292,15.155020692730323,235.72171798560197,62.828,159.67054986933624,True
openvla_simplerenv_fractal,original,250,89,35.6,64.312,15.415911651297007,239.7050573967068,64.312,160.4307802654088,True
openvla_simplerenv_fractal,temporal_fusion_conservative_adaptive,250,92,36.8,63.272,15.201439476215281,240.25539695624101,63.272,160.12918804261585,True
openvla_simplerenv_fractal,temporal_fusion_motion_entropy,250,105,42.0,62.028,15.050546760107856,242.6411743101157,62.028,161.4726245443574,True
openvla_simplerenv_fractal,temporal_fusion_task_aware,250,106,42.4,61.436,15.604731843205169,253.99980212261815,61.436,173.6195948603589,True
smolvla_libero,action_repeat2,400,257,64.25,231.2175,35.38376250719099,153.03237214826294,115.7725,276.8490737749883,True
smolvla_libero,action_repeat4,400,185,46.25,264.8225,21.87766364667536,82.61255613354363,66.37,273.69140128725167,True
smolvla_libero,depth_pruning1,400,206,51.5,257.9725,75.63548965199588,293.1920636966959,257.9725,278.0067072166455,True
smolvla_libero,depth_pruning2,400,134,33.5,284.2775,82.32922922700516,289.60867190335205,284.2775,274.3749044038781,True
smolvla_libero,depth_pruning4,400,70,17.5,308.8975,80.8256468790017,261.6584688416115,308.8975,246.70195887743947,True
smolvla_libero,fixed_foveation_keep20,400,214,53.5,251.7,77.18636227851356,306.66016002587827,251.7,277.68209291139107,True
smolvla_libero,fixed_foveation_keep50,400,245,61.25,239.665,73.71722758502496,307.58445156791754,239.665,277.87253363057755,True
smolvla_libero,guarded_reuse_aggressive,400,293,73.25,216.0425,60.509015647270274,280.0792235197717,211.07,271.44178152045,True
smolvla_libero,guarded_reuse_moderate,400,280,70.0,221.765,60.6928414749375,273.68088505822607,220.855,260.35622700989586,True
smolvla_libero,guarded_reuse_strict,400,285,71.25,218.3375,62.44322874396707,285.99406306276785,218.065,271.59033747676534,True
smolvla_libero,original,400,292,73.0,217.795,63.42326818015892,291.206263597231,217.795,275.6664264149697,True
smolvla_libero,temporal_fusion_conservative_adaptive,400,289,72.25,215.23,61.10542370912059,283.9075580036268,215.23,269.3629925688992,True
smolvla_libero,temporal_fusion_motion_entropy,400,291,72.75,214.6375,61.614514552481985,287.0631392579674,214.6375,272.3800537433112,True
smolvla_libero,temporal_fusion_task_aware,400,285,71.25,218.2075,59.713239966275175,273.65347188467484,218.2075,259.44273185008245,True
spatialvla_simplerenv_bridge,action_repeat2,200,82,41.0,49.375,11.607235932344997,235.08325938926575,24.85,387.63779812535046,True
spatialvla_simplerenv_bridge,action_repeat4,200,58,29.0,62.4,8.60318289797923,137.87152080094924,15.78,384.7102512942545,True
spatialvla_simplerenv_bridge,depth_pruning1,200,77,38.5,49.705,20.304426875654425,408.4986797234569,49.705,368.9779687559768,True
spatialvla_simplerenv_bridge,depth_pruning2,200,56,28.0,55.32,21.976786458734605,397.2665664991794,55.32,357.877227026173,True
spatialvla_simplerenv_bridge,depth_pruning4,200,28,14.0,70.88,26.548019783900102,374.5488118496064,70.88,335.5657923518576,True
spatialvla_simplerenv_bridge,fixed_foveation_keep20,200,100,50.0,45.565,20.315350796640306,445.8542915975048,45.565,384.6021152681304,True
spatialvla_simplerenv_bridge,fixed_foveation_keep50,200,89,44.5,46.06,20.53293205016643,445.78662722897155,46.06,381.8441612816745,True
spatialvla_simplerenv_bridge,guarded_reuse_aggressive,200,91,45.5,45.125,19.071645507409052,422.64034365449425,44.935,384.56828961505715,True
spatialvla_simplerenv_bridge,guarded_reuse_moderate,200,90,45.0,45.11,19.17646613113579,425.1045473539301,45.08,385.2172186149739,True
spatialvla_simplerenv_bridge,guarded_reuse_strict,200,90,45.0,45.145,19.07946669268496,422.6263527009626,45.135,382.5255157714648,True
spatialvla_simplerenv_bridge,original,200,90,45.0,45.145,19.122057479139194,423.5697747068157,45.145,384.7625891271544,True
spatialvla_simplerenv_bridge,temporal_fusion_conservative_adaptive,200,90,45.0,45.69,19.476645226129992,426.27807454869765,45.69,385.82183380543125,True
spatialvla_simplerenv_bridge,temporal_fusion_motion_entropy,200,92,46.0,45.335,19.40548606997442,428.04645571797556,45.335,387.8690509954396,True
spatialvla_simplerenv_bridge,temporal_fusion_task_aware,200,88,44.0,45.475,19.408235464160985,426.7891251052443,45.475,387.30371863838445,True
spatialvla_simplerenv_fractal,action_repeat2,250,148,59.2,50.404,13.252074872891418,262.91712707109394,25.34,379.3483810688956,True
spatialvla_simplerenv_fractal,action_repeat4,250,74,29.6,65.88,10.93539308026014,165.98957316727595,16.6,377.9985808231307,True
spatialvla_simplerenv_fractal,depth_pruning1,250,135,54.0,50.636,22.02787632823596,435.0240210173781,50.636,364.6259216352117,True
spatialvla_simplerenv_fractal,depth_pruning2,250,142,56.8,50.74,21.63601667739218,426.40947334237643,50.74,355.47566890425077,True
spatialvla_simplerenv_fractal,depth_pruning4,250,108,43.2,55.348,22.088624971104785,399.0862356562981,55.348,328.6421300763162,True
spatialvla_simplerenv_fractal,fixed_foveation_keep20,250,138,55.2,48.748,23.154642454503104,474.986511333862,48.748,380.27873743452176,True
spatialvla_simplerenv_fractal,fixed_foveation_keep50,250,143,57.2,49.148,23.51170524630649,478.3857989400686,49.148,380.59102870027874,True
spatialvla_simplerenv_fractal,guarded_reuse_aggressive,250,147,58.8,49.932,22.020715754888485,441.01409426597144,48.732,379.0242197244593,True
spatialvla_simplerenv_fractal,guarded_reuse_moderate,250,150,60.0,49.436,22.092420922118706,446.8893300857413,49.024,378.823746760011,True
spatialvla_simplerenv_fractal,guarded_reuse_strict,250,148,59.2,49.612,22.157390314066316,446.6135272528081,49.356,377.56034535909043,True
spatialvla_simplerenv_fractal,original,250,148,59.2,49.576,22.306730741351377,449.95019245908054,49.576,378.7100208876801,True
spatialvla_simplerenv_fractal,temporal_fusion_conservative_adaptive,250,148,59.2,49.66,22.471491281571332,452.5068723634984,49.66,380.5334295557348,True
spatialvla_simplerenv_fractal,temporal_fusion_motion_entropy,250,145,58.0,49.416,22.31013952443097,451.47603052515313,49.416,380.74045594445715,True
spatialvla_simplerenv_fractal,temporal_fusion_task_aware,250,150,60.0,47.708,21.632067879921756,453.42642491661263,47.708,382.1923216374261,True
univla_libero,action_repeat2,400,109,27.25,296.075,11.525645373198786,38.928127579832086,14.93,499.07636930385144,True
univla_libero,action_repeat4,400,2,0.5,329.33,8.699635567374935,26.416164841875734,8.485,506.97280032382963,True
univla_libero,depth_pruning1,400,376,94.0,164.7175,10.210691795828462,61.989113456848614,16.8775,470.69802809917206,True
univla_libero,depth_pruning2,400,366,91.5,167.2575,10.210362668356684,61.04576875988631,17.15,460.711556131515,True
univla_libero,depth_pruning4,400,356,89.0,177.71,10.343429903299548,58.20398347475971,18.1575,434.71097576676976,True
univla_libero,fixed_foveation_keep20,400,364,91.0,164.0,10.529111102418973,64.20189696596935,16.7775,485.7692731814433,True
univla_libero,fixed_foveation_keep50,400,382,95.5,158.0375,10.15339144093945,64.24672271416246,16.22,484.794395162853,True
univla_libero,guarded_reuse_aggressive,400,369,92.25,164.48,10.29545397805574,62.59395657864627,16.81,480.8785611678103,True
univla_libero,guarded_reuse_moderate,400,370,92.5,164.14,10.41754008203803,63.46740637284044,16.8075,484.8663058755239,True
univla_libero,guarded_reuse_strict,400,370,92.5,164.0125,10.403453104087385,63.430854990243944,16.795,484.90879540306014,True
univla_libero,original,400,369,92.25,164.2675,10.422952030903543,63.45109063511372,16.8375,484.09439793225437,True
univla_libero,temporal_fusion_conservative_adaptive,400,369,92.25,164.3125,10.270534527588753,62.50610591153291,16.8375,479.45541921066524,True
