backbone_dir,configuration,task,task_group,n,successes,success_rate,mean_steps,truncation_rate,n_with_truncated_field,mean_policy_calls,mean_reuses,mean_episode_elapsed_s,median_of_episode_query_median_ms,n_with_query_latency
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_open_drawer,google_robot_open_drawer,50,36,0.72,51.74,0.0,50,51.74,0.0,9.096,98.432,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_pick_coke_can,google_robot_pick_coke_can,50,50,1.0,19.12,0.0,50,19.12,0.0,3.096,98.155,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.444,97.548,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_close_drawer,google_robot_close_drawer,50,30,0.6,49.38,0.0,50,49.38,0.0,8.757,97.504,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_move_near,google_robot_move_near,50,47,0.94,23.28,0.06,50,23.28,0.0,3.702,97.277,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_open_drawer,google_robot_open_drawer,50,39,0.78,46.5,0.0,50,46.5,0.0,7.993,95.214,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_pick_coke_can,google_robot_pick_coke_can,50,48,0.96,20.5,0.04,50,20.5,0.0,3.297,97.112,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.237,96.158,50
cogact_base_simplerenv_fractal,depth_pruning4,google_robot_close_drawer,google_robot_close_drawer,50,34,0.68,45.58,0.0,50,45.58,0.0,7.735,93.748,50
cogact_base_simplerenv_fractal,depth_pruning4,google_robot_move_near,google_robot_move_near,50,46,0.92,23.42,0.08,50,23.42,0.0,3.611,94.615,50
cogact_base_simplerenv_fractal,depth_pruning4,google_robot_open_drawer,google_robot_open_drawer,50,38,0.76,50.22,0.0,50,50.22,0.0,8.404,93.795,50
cogact_base_simplerenv_fractal,depth_pruning4,google_robot_pick_coke_can,google_robot_pick_coke_can,50,49,0.98,20.38,0.02,50,20.38,0.0,3.173,94.271,50
cogact_base_simplerenv_fractal,depth_pruning4,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.087,94.363,50
cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_close_drawer,google_robot_close_drawer,50,29,0.58,51.2,0.0,50,51.2,0.0,10.098,99.361,50
cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_move_near,google_robot_move_near,50,47,0.94,22.2,0.06,50,22.2,0.0,3.973,98.824,50
cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_open_drawer,google_robot_open_drawer,50,36,0.72,54.3,0.0,50,54.3,0.0,10.536,98.781,50
cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_pick_coke_can,google_robot_pick_coke_can,50,50,1.0,18.9,0.0,50,18.9,0.0,3.419,100.132,50
cogact_base_simplerenv_fractal,fixed_foveation_keep20,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,14.983,99.296,50
cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_close_drawer,google_robot_close_drawer,50,34,0.68,46.74,0.0,50,46.74,0.0,9.431,99.261,50
cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_move_near,google_robot_move_near,50,46,0.92,23.14,0.08,50,23.14,0.0,4.286,99.783,50
cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_open_drawer,google_robot_open_drawer,50,40,0.8,50.22,0.0,50,50.22,0.0,9.997,98.873,50
cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_pick_coke_can,google_robot_pick_coke_can,50,48,0.96,21.6,0.04,50,21.6,0.0,4.007,100.519,50
cogact_base_simplerenv_fractal,fixed_foveation_keep50,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,15.408,98.801,50
cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,47.46,0.0,50,46.88,0.58,8.657,100.46,50
cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_move_near,google_robot_move_near,50,47,0.94,22.54,0.06,50,22.5,0.04,3.637,99.715,50
cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_open_drawer,google_robot_open_drawer,50,40,0.8,47.7,0.0,50,47.14,0.56,8.356,99.506,50
cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_pick_coke_can,google_robot_pick_coke_can,50,49,0.98,20.46,0.02,50,20.46,0.0,3.355,100.14,50
cogact_base_simplerenv_fractal,guarded_reuse_aggressive,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,79.94,0.06,14.455,101.335,50
cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,50.34,0.0,50,50.26,0.08,8.807,99.099,50
cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_move_near,google_robot_move_near,50,47,0.94,22.5,0.06,50,22.5,0.0,3.582,98.501,50
cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_open_drawer,google_robot_open_drawer,50,41,0.82,48.84,0.0,50,48.68,0.16,8.471,98.903,50
cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_pick_coke_can,google_robot_pick_coke_can,50,49,0.98,20.46,0.02,50,20.46,0.0,3.276,99.533,50
cogact_base_simplerenv_fractal,guarded_reuse_moderate,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.614,99.388,50
cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,48.96,0.0,50,48.96,0.0,8.501,98.085,50
cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_move_near,google_robot_move_near,50,47,0.94,22.5,0.06,50,22.5,0.0,3.594,100.352,50
cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_open_drawer,google_robot_open_drawer,50,40,0.8,51.6,0.0,50,51.58,0.02,8.921,98.998,50
cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_pick_coke_can,google_robot_pick_coke_can,50,49,0.98,20.46,0.02,50,20.46,0.0,3.26,98.005,50
cogact_base_simplerenv_fractal,guarded_reuse_strict,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.429,99.05,50
cogact_base_simplerenv_fractal,original,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,48.96,0.0,50,48.96,0.0,8.607,99.542,50
cogact_base_simplerenv_fractal,original,google_robot_move_near,google_robot_move_near,50,47,0.94,22.5,0.06,50,22.5,0.0,3.595,99.201,50
cogact_base_simplerenv_fractal,original,google_robot_open_drawer,google_robot_open_drawer,50,40,0.8,51.96,0.0,50,51.96,0.0,8.985,98.416,50
cogact_base_simplerenv_fractal,original,google_robot_pick_coke_can,google_robot_pick_coke_can,50,49,0.98,20.46,0.02,50,20.46,0.0,3.282,99.339,50
cogact_base_simplerenv_fractal,original,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.366,98.788,50
cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,49.14,0.0,50,49.14,0.0,8.633,98.318,50
cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_move_near,google_robot_move_near,50,47,0.94,22.5,0.06,50,22.5,0.0,3.668,98.362,50
cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_open_drawer,google_robot_open_drawer,50,37,0.74,50.62,0.0,50,50.62,0.0,8.946,98.16,50
cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_pick_coke_can,google_robot_pick_coke_can,50,49,0.98,20.46,0.02,50,20.46,0.0,3.319,98.635,50
cogact_base_simplerenv_fractal,temporal_fusion_conservative_adaptive,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.582,98.566,50
cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,48.42,0.0,50,48.42,0.0,8.56,99.044,50
cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_move_near,google_robot_move_near,50,46,0.92,22.76,0.08,50,22.76,0.0,3.965,103.699,50
cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_open_drawer,google_robot_open_drawer,50,37,0.74,50.96,0.0,50,50.96,0.0,9.474,101.61,50
cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_pick_coke_can,google_robot_pick_coke_can,50,48,0.96,21.22,0.04,50,21.22,0.0,3.75,104.689,50
cogact_base_simplerenv_fractal,temporal_fusion_motion_entropy,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.659,99.112,50
cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_close_drawer,google_robot_close_drawer,50,31,0.62,48.42,0.0,50,48.42,0.0,8.58,98.958,50
cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_move_near,google_robot_move_near,50,46,0.92,22.76,0.08,50,22.76,0.0,3.677,99.124,50
cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_open_drawer,google_robot_open_drawer,50,37,0.74,50.96,0.0,50,50.96,0.0,8.908,98.45,50
cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_pick_coke_can,google_robot_pick_coke_can,50,48,0.96,21.22,0.04,50,21.22,0.0,3.466,98.916,50
cogact_base_simplerenv_fractal,temporal_fusion_task_aware,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.579,98.253,50
cronusvla_simplerenv_bridge,action_repeat2,widowx_carrot_on_plate,widowx_carrot_on_plate,50,2,0.04,59.6,,0,29.82,29.78,4.844,,0
cronusvla_simplerenv_bridge,action_repeat2,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,4,0.08,114.56,,0,57.3,57.26,10.345,,0
cronusvla_simplerenv_bridge,action_repeat2,widowx_spoon_on_towel,widowx_spoon_on_towel,50,1,0.02,59.42,,0,29.72,29.7,4.854,,0
cronusvla_simplerenv_bridge,action_repeat2,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,,0,30.0,30.0,4.827,,0
cronusvla_simplerenv_bridge,action_repeat4,widowx_carrot_on_plate,widowx_carrot_on_plate,50,0,0.0,60.0,,0,15.0,45.0,3.557,,0
cronusvla_simplerenv_bridge,action_repeat4,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,0,0.0,120.0,,0,30.0,90.0,8.46,,0
cronusvla_simplerenv_bridge,action_repeat4,widowx_spoon_on_towel,widowx_spoon_on_towel,50,0,0.0,60.0,,0,15.0,45.0,3.602,,0
cronusvla_simplerenv_bridge,action_repeat4,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,,0,15.0,45.0,3.533,,0
cronusvla_simplerenv_bridge,depth_pruning1,widowx_carrot_on_plate,widowx_carrot_on_plate,50,6,0.12,58.34,,0,58.34,0.0,7.108,,0
cronusvla_simplerenv_bridge,depth_pruning1,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,49,0.98,30.3,,0,30.3,0.0,3.812,,0
cronusvla_simplerenv_bridge,depth_pruning1,widowx_spoon_on_towel,widowx_spoon_on_towel,50,15,0.3,51.94,,0,51.94,0.0,6.333,,0
cronusvla_simplerenv_bridge,depth_pruning1,widowx_stack_cube,widowx_stack_cube,50,1,0.02,59.52,,0,59.52,0.0,7.189,,0
cronusvla_simplerenv_bridge,depth_pruning2,widowx_carrot_on_plate,widowx_carrot_on_plate,50,8,0.16,57.84,,0,57.84,0.0,6.745,,0
cronusvla_simplerenv_bridge,depth_pruning2,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,48,0.96,33.82,,0,33.82,0.0,4.146,,0
cronusvla_simplerenv_bridge,depth_pruning2,widowx_spoon_on_towel,widowx_spoon_on_towel,50,16,0.32,50.42,,0,50.42,0.0,6.04,,0
cronusvla_simplerenv_bridge,depth_pruning2,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,,0,60.0,0.0,7.067,,0
cronusvla_simplerenv_bridge,depth_pruning4,widowx_carrot_on_plate,widowx_carrot_on_plate,50,7,0.14,56.84,,0,56.84,0.0,6.392,,0
cronusvla_simplerenv_bridge,depth_pruning4,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,47,0.94,34.12,,0,34.12,0.0,4.023,,0
cronusvla_simplerenv_bridge,depth_pruning4,widowx_spoon_on_towel,widowx_spoon_on_towel,50,3,0.06,59.1,,0,59.1,0.0,6.748,,0
cronusvla_simplerenv_bridge,depth_pruning4,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,,0,60.0,0.0,6.654,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_carrot_on_plate,widowx_carrot_on_plate,50,5,0.1,57.76,,0,57.76,0.0,8.497,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,50,1.0,28.52,,0,28.52,0.0,4.301,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_spoon_on_towel,widowx_spoon_on_towel,50,18,0.36,49.4,,0,49.4,0.0,7.086,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep20,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,,0,60.0,0.0,8.668,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep50,widowx_carrot_on_plate,widowx_carrot_on_plate,50,4,0.08,57.88,,0,57.88,0.0,8.475,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep50,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,49,0.98,32.84,,0,32.84,0.0,4.972,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep50,widowx_spoon_on_towel,widowx_spoon_on_towel,50,15,0.3,51.04,,0,51.04,0.0,7.431,,0
cronusvla_simplerenv_bridge,fixed_foveation_keep50,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,,0,60.0,0.0,8.768,,0
cronusvla_simplerenv_bridge,guarded_reuse_aggressive,widowx_carrot_on_plate,widowx_carrot_on_plate,50,7,0.14,57.48,,0,57.42,0.06,7.215,,0
cronusvla_simplerenv_bridge,guarded_reuse_aggressive,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,49,0.98,30.44,,0,30.44,0.0,3.9,,0
