backbone,env,configuration,family,task,task_description,episodes,successes,success_pct,avg_steps,avg_reuses,orig_episodes,orig_successes,orig_success_pct,orig_avg_steps,delta_success_pct,delta_avg_steps,delta_vs_original
OpenVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_stack_cube,,50,15,30.00,53.24,0.00,50,15,30.00,51.16,0.00,2.08,0.00
OpenVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_carrot_on_plate,,50,14,28.00,52.06,0.00,50,16,32.00,51.22,-4.00,0.84,-4.00
OpenVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_put_eggplant_in_basket,,50,41,82.00,46.60,0.00,50,37,74.00,53.74,8.00,-7.14,8.00
OpenVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_spoon_on_towel,,50,26,52.00,43.96,0.00,50,19,38.00,47.52,14.00,-3.56,14.00
OpenVLA,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_stack_cube,,50,15,30.00,51.46,0.00,50,15,30.00,51.16,0.00,0.30,0.00
SpatialVLA,WidowX,original,Original,widowx_carrot_on_plate,,50,13,26.00,51.90,0.00,50,13,26.00,51.90,0.00,0.00,0.00
SpatialVLA,WidowX,original,Original,widowx_put_eggplant_in_basket,,50,50,100.00,26.26,0.00,50,50,100.00,26.26,0.00,0.00,0.00
SpatialVLA,WidowX,original,Original,widowx_spoon_on_towel,,50,11,22.00,52.72,0.00,50,11,22.00,52.72,0.00,0.00,0.00
SpatialVLA,WidowX,original,Original,widowx_stack_cube,,50,16,32.00,49.70,0.00,50,16,32.00,49.70,0.00,0.00,0.00
SpatialVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_carrot_on_plate,,50,17,34.00,52.90,0.00,50,13,26.00,51.90,8.00,1.00,8.00
SpatialVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_put_eggplant_in_basket,,50,50,100.00,27.56,0.00,50,50,100.00,26.26,0.00,1.30,0.00
SpatialVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_spoon_on_towel,,50,12,24.00,52.32,0.00,50,11,22.00,52.72,2.00,-0.40,2.00
SpatialVLA,WidowX,fixed_foveation_keep20,Foveation,widowx_stack_cube,,50,21,42.00,49.48,0.00,50,16,32.00,49.70,10.00,-0.22,10.00
SpatialVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_carrot_on_plate,,50,14,28.00,50.62,0.00,50,13,26.00,51.90,2.00,-1.28,2.00
SpatialVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_put_eggplant_in_basket,,50,50,100.00,27.48,0.00,50,50,100.00,26.26,0.00,1.22,0.00
SpatialVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_spoon_on_towel,,50,10,20.00,53.78,0.00,50,11,22.00,52.72,-2.00,1.06,-2.00
SpatialVLA,WidowX,fixed_foveation_keep50,Foveation,widowx_stack_cube,,50,15,30.00,52.36,0.00,50,16,32.00,49.70,-2.00,2.66,-2.00
SpatialVLA,WidowX,action_repeat2,Action repeat,widowx_carrot_on_plate,,50,2,4.00,58.76,0.00,50,13,26.00,51.90,-22.00,6.86,-22.00
SpatialVLA,WidowX,action_repeat2,Action repeat,widowx_put_eggplant_in_basket,,50,49,98.00,35.96,0.00,50,50,100.00,26.26,-2.00,9.70,-2.00
SpatialVLA,WidowX,action_repeat2,Action repeat,widowx_spoon_on_towel,,50,20,40.00,48.74,0.00,50,11,22.00,52.72,18.00,-3.98,18.00
SpatialVLA,WidowX,action_repeat2,Action repeat,widowx_stack_cube,,50,11,22.00,54.04,0.00,50,16,32.00,49.70,-10.00,4.34,-10.00
SpatialVLA,WidowX,action_repeat4,Action repeat,widowx_carrot_on_plate,,50,6,12.00,59.16,0.00,50,13,26.00,51.90,-14.00,7.26,-14.00
SpatialVLA,WidowX,action_repeat4,Action repeat,widowx_put_eggplant_in_basket,,50,37,74.00,73.52,0.00,50,50,100.00,26.26,-26.00,47.26,-26.00
SpatialVLA,WidowX,action_repeat4,Action repeat,widowx_spoon_on_towel,,50,9,18.00,58.24,0.00,50,11,22.00,52.72,-4.00,5.52,-4.00
SpatialVLA,WidowX,action_repeat4,Action repeat,widowx_stack_cube,,50,6,12.00,58.68,0.00,50,16,32.00,49.70,-20.00,8.98,-20.00
SpatialVLA,WidowX,depth_pruning1,Depth pruning,widowx_carrot_on_plate,,50,10,20.00,54.08,0.00,50,13,26.00,51.90,-6.00,2.18,-6.00
SpatialVLA,WidowX,depth_pruning1,Depth pruning,widowx_put_eggplant_in_basket,,50,46,92.00,36.12,0.00,50,50,100.00,26.26,-8.00,9.86,-8.00
SpatialVLA,WidowX,depth_pruning1,Depth pruning,widowx_spoon_on_towel,,50,9,18.00,54.46,0.00,50,11,22.00,52.72,-4.00,1.74,-4.00
SpatialVLA,WidowX,depth_pruning1,Depth pruning,widowx_stack_cube,,50,12,24.00,54.16,0.00,50,16,32.00,49.70,-8.00,4.46,-8.00
SpatialVLA,WidowX,depth_pruning2,Depth pruning,widowx_carrot_on_plate,,50,8,16.00,55.56,0.00,50,13,26.00,51.90,-10.00,3.66,-10.00
SpatialVLA,WidowX,depth_pruning2,Depth pruning,widowx_put_eggplant_in_basket,,50,41,82.00,48.46,0.00,50,50,100.00,26.26,-18.00,22.20,-18.00
SpatialVLA,WidowX,depth_pruning2,Depth pruning,widowx_spoon_on_towel,,50,0,0.00,60.00,0.00,50,11,22.00,52.72,-22.00,7.28,-22.00
SpatialVLA,WidowX,depth_pruning2,Depth pruning,widowx_stack_cube,,50,7,14.00,57.26,0.00,50,16,32.00,49.70,-18.00,7.56,-18.00
SpatialVLA,WidowX,depth_pruning4,Depth pruning,widowx_carrot_on_plate,,50,13,26.00,55.66,0.00,50,13,26.00,51.90,0.00,3.76,0.00
SpatialVLA,WidowX,depth_pruning4,Depth pruning,widowx_put_eggplant_in_basket,,50,8,16.00,110.90,0.00,50,50,100.00,26.26,-84.00,84.64,-84.00
SpatialVLA,WidowX,depth_pruning4,Depth pruning,widowx_spoon_on_towel,,50,3,6.00,59.04,0.00,50,11,22.00,52.72,-16.00,6.32,-16.00
SpatialVLA,WidowX,depth_pruning4,Depth pruning,widowx_stack_cube,,50,4,8.00,57.92,0.00,50,16,32.00,49.70,-24.00,8.22,-24.00
SpatialVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_carrot_on_plate,,50,13,26.00,51.90,0.04,50,13,26.00,51.90,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_put_eggplant_in_basket,,50,50,100.00,26.26,0.00,50,50,100.00,26.26,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_spoon_on_towel,,50,11,22.00,52.72,0.00,50,11,22.00,52.72,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_strict,Guarded reuse,widowx_stack_cube,,50,16,32.00,49.70,0.00,50,16,32.00,49.70,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_carrot_on_plate,,50,13,26.00,51.90,0.10,50,13,26.00,51.90,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_put_eggplant_in_basket,,50,50,100.00,26.26,0.00,50,50,100.00,26.26,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_spoon_on_towel,,50,11,22.00,52.58,0.02,50,11,22.00,52.72,0.00,-0.14,0.00
SpatialVLA,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_stack_cube,,50,16,32.00,49.70,0.00,50,16,32.00,49.70,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_carrot_on_plate,,50,13,26.00,51.80,0.36,50,13,26.00,51.90,0.00,-0.10,0.00
SpatialVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_put_eggplant_in_basket,,50,50,100.00,26.26,0.00,50,50,100.00,26.26,0.00,0.00,0.00
SpatialVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_spoon_on_towel,,50,10,20.00,52.82,0.28,50,11,22.00,52.72,-2.00,0.10,-2.00
SpatialVLA,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_stack_cube,,50,18,36.00,49.62,0.12,50,16,32.00,49.70,4.00,-0.08,4.00
SpatialVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_carrot_on_plate,,50,15,30.00,50.04,0.00,50,13,26.00,51.90,4.00,-1.86,4.00
SpatialVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_put_eggplant_in_basket,,50,50,100.00,26.50,0.00,50,50,100.00,26.26,0.00,0.24,0.00
SpatialVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_spoon_on_towel,,50,10,20.00,53.36,0.00,50,11,22.00,52.72,-2.00,0.64,-2.00
SpatialVLA,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_stack_cube,,50,17,34.00,51.44,0.00,50,16,32.00,49.70,2.00,1.74,2.00
SpatialVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_carrot_on_plate,,50,11,22.00,53.34,0.00,50,13,26.00,51.90,-4.00,1.44,-4.00
SpatialVLA,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_put_eggplant_in_basket,,50,50,100.00,25.56,0.00,50,50,100.00,26.26,0.00,-0.70,0.00
